synthetic_id,complaint_type,descriptor,resolution_description,agency,source
1,blocked driveway,I need to report that car blocked private driveway near Main St.,,NYPD,synthetic_rule_training_v2
2,blocked driveway,Resident reports vehicle blocked garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
3,blocked driveway,blocked driveway: van blocked my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
4,blocked driveway,Resident reports vehicle preventing access to garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
5,blocked driveway,blocked driveway: vehicle preventing access to driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
6,blocked driveway,There is a complaint about SUV that parked in front of my driveway near Main St.,,NYPD,synthetic_rule_training_v2
7,blocked driveway,I need to report that van parked in front of private driveway near Main St.,,NYPD,synthetic_rule_training_v2
8,blocked driveway,Resident reports delivery vehicle parked in front of my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
9,blocked driveway,There is a complaint about car that parked in front of private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
10,blocked driveway,"Please send help, delivery vehicle blocked driveway entrance in front of the building.",,NYPD,synthetic_rule_training_v2
11,blocked driveway,van blocked garage entrance outside my house.,,NYPD,synthetic_rule_training_v2
12,blocked driveway,I need to report that SUV parked in front of garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
13,blocked driveway,I need to report that car blocked our driveway outside my house.,,NYPD,synthetic_rule_training_v2
14,blocked driveway,delivery vehicle is blocking my driveway at the curb.,,NYPD,synthetic_rule_training_v2
15,blocked driveway,"Please send help, van parked in front of our driveway outside my house.",,NYPD,synthetic_rule_training_v2
16,blocked driveway,"Please send help, vehicle parked in front of my driveway in front of the building.",,NYPD,synthetic_rule_training_v2
17,blocked driveway,I need to report that vehicle preventing access to our driveway near Main St.,,NYPD,synthetic_rule_training_v2
18,blocked driveway,There is a complaint about van that parked in front of garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
19,blocked driveway,I need to report that truck blocked our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
20,blocked driveway,"Please send help, van parked in front of my driveway near Main St.",,NYPD,synthetic_rule_training_v2
21,blocked driveway,blocked driveway: taxi parked in front of our driveway at the curb.,,NYPD,synthetic_rule_training_v2
22,blocked driveway,There is a complaint about taxi that obstructing our driveway outside my house.,,NYPD,synthetic_rule_training_v2
23,blocked driveway,Resident reports vehicle preventing access to garage entrance outside my house.,,NYPD,synthetic_rule_training_v2
24,blocked driveway,I need to report that SUV obstructing garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
25,blocked driveway,"Please send help, vehicle is blocking garage entrance at the curb.",,NYPD,synthetic_rule_training_v2
26,blocked driveway,delivery vehicle blocked my driveway near Main St.,,NYPD,synthetic_rule_training_v2
27,blocked driveway,I need to report that vehicle obstructing garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
28,blocked driveway,There is a complaint about van that preventing access to driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
29,blocked driveway,"Please send help, SUV blocked my driveway in front of the building.",,NYPD,synthetic_rule_training_v2
30,blocked driveway,"Please send help, delivery vehicle parked in front of my driveway outside my house.",,NYPD,synthetic_rule_training_v2
31,blocked driveway,There is a complaint about vehicle that obstructing my driveway outside my house.,,NYPD,synthetic_rule_training_v2
32,blocked driveway,blocked driveway: delivery vehicle is blocking garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
33,blocked driveway,I need to report that truck preventing access to garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
34,blocked driveway,Resident reports truck is blocking garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
35,blocked driveway,SUV parked in front of driveway entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
36,blocked driveway,truck parked in front of our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
37,blocked driveway,Resident reports SUV blocked my driveway at the curb.,,NYPD,synthetic_rule_training_v2
38,blocked driveway,delivery vehicle preventing access to our driveway near Main St.,,NYPD,synthetic_rule_training_v2
39,blocked driveway,I need to report that van preventing access to our driveway outside my house.,,NYPD,synthetic_rule_training_v2
40,blocked driveway,blocked driveway: delivery vehicle preventing access to driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
41,blocked driveway,blocked driveway: delivery vehicle is blocking private driveway at the curb.,,NYPD,synthetic_rule_training_v2
42,blocked driveway,I need to report that taxi parked in front of driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
43,blocked driveway,There is a complaint about car that is blocking our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
44,blocked driveway,"Please send help, car preventing access to garage entrance near Main St.",,NYPD,synthetic_rule_training_v2
45,blocked driveway,blocked driveway: vehicle blocked my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
46,blocked driveway,Resident reports car blocked private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
47,blocked driveway,blocked driveway: vehicle parked in front of driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
48,blocked driveway,blocked driveway: vehicle preventing access to garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
49,blocked driveway,Resident reports delivery vehicle obstructing driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
50,blocked driveway,car obstructing private driveway at the curb.,,NYPD,synthetic_rule_training_v2
